"mpirun -np 2 --mca pml ob1 --map-by node --mca btl tcp,self ./IMB-MPI1 PingPong","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"5.61536920895818","7036.73162414809","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","5.39","0","5.61536920895818","303.510359146334"
"1","1000","5.52","0.18","5.61571389125157","303.531378115898"
"2","1000","5.54","0.36","5.61605857236498","303.552397038196"
"4","1000","5.48","0.73","5.61674793105187","303.594434740995"
"8","1000","5.54","1.44","5.61812663426602","303.678509579405"
"16","1000","5.56","2.88","5.62088398405662","303.846656987489"
"32","1000","5.54","5.78","5.6263984570935","304.182942728816"
"64","1000","5.58","11.48","5.6374264970414","304.855477912953"
"128","1000","5.6","22.85","5.65947895284544","306.200403093956"
"256","1000","5.64","45.41","5.70356937137948","308.889672761213"
"512","1000","5.69","89.95","5.79169226249089","314.265889751397"
"1024","1000","6.27","163.4","5.96770647152338","325.009037831339"
"2048","1000","6.15","332.93","6.31881028065234","346.458218197802"
"4096","1000","7.09","577.52","7.0173329135286","389.208338113003"
"8192","1000","7.61","1076.3","8.39974551713766","474.117391756447"
"16384","1000","9.74","1682.79","11.1068931448322","641.584942746175"
"32768","1000","15.88","2062.93","16.297220306043","967.230875608854"
"65536","640","30.45","2152.59","25.8346332758108","1582.26328890584"
"131072","320","43.29","3027.99","41.9369693528593","2674.35250551808"
"262144","160","61.38","4270.84","65.1370643555306","4361.27661541715"
"524288","80","95.22","5506.06","93.8509378967822","6153.70077469261"
"1048576","40","161.99","6473.23","162.170284708246","6200.13151284172"
"2097152","20","307.11","6828.7","307.100785890573","6862.07675236627"
"4194304","10","595.96","7037.91","595.960150123683","7036.73162414809"
