"mpirun -np 2 -ppn=2 -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1 PingPong","","","","",""
"ct1p1-tnode007","ct1p1-tnode008","","","",""
"0.578414895510502","10916.0711547616","","","",""
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec] (computed)","Mbytes/sec (computed)"
"0","1000","0.23","0","0.578414895510502","2148.32631901044"
"1","1000","0.24","4.24","0.578457466630759","2148.40882348397"
"2","1000","0.24","8.46","0.578500037977637","2148.49132771127"
"4","1000","0.24","16.98","0.578585181351247","2148.65633542714"
"8","1000","0.24","33.96","0.57875547081787","2148.98634790403"
"16","1000","0.24","67.02","0.579096060628567","2149.64636103845"
"32","1000","0.25","130.41","0.579777283758511","2150.96634003054"
"64","1000","0.25","259.84","0.581139904042544","2153.60610891261"
"128","1000","0.26","490.42","0.583865840626727","2158.884890308"
"256","1000","0.28","913.12","0.589320497215956","2169.43942794111"
"512","1000","0.41","1238.2","0.600240938929978","2190.5364051155"
"1024","1000","0.46","2240.18","0.62212629533224","2232.6819874046"
"2048","1000","0.59","3447.76","0.666074570930439","2316.77982616297"
"4096","1000","0.85","4836.6","0.754678744332404","2484.20349907269"
"8192","1000","1.36","6005.81","0.934696609849339","2815.97320498495"
"16384","1000","2.33","7022.91","1.30580363927537","3467.28491162814"
"32768","1000","3.46","9470.01","2.09098437030318","4721.65756023998"
"65536","640","5.65","11596.32","3.82291346350314","7042.63577472932"
"131072","320","8.62","15197.42","7.85457373970827","10974.7001213984"
"262144","160","14.99","17491.81","17.6221622512632","16317.2855291981"
"524288","80","41.37","12672.89","40.3485265023334","19278.3244270805"
"1048576","40","81.95","12794.94","82.0883554754071","10285.6583449216"
"2097152","20","154.58","13566.4","154.572833224065","13862.8849715345"
"4194304","10","383.87","10926.39","383.870117536205","10916.0711547616"
